id,"name",artist_id,"created_at","updated_at",display
138,"普通、アイドル10年やってらんないでしょ!?",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
139,"愛はいつも君の中に",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
140,"永久の歌",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
141,"ロマンスを語って",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
142,"Love together！",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
143,"ホントのじぶん",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
144,"こころのたまご",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
145,"恋愛ライダー",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
146,"じゃなきゃもったいないっ！",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
147,"Cafe Buono!",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
148,"泣き虫少年",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
149,"バケツの水",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
150,"ガラクタノユメ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
151,"Internet Cupid",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
152,"Last Forever",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
153,"星の羊たち",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
154,"ロックの神様",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
155,"君がいれば",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
156,"Kiss! Kiss! Kiss!",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
157,"みんなだいすき",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
158,"ガチンコでいこう!",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
159,"れでぃぱんさぁ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
160,"ロッタラ　ロッタラ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
161,"マイラブ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
162,"co・no・mi・chi",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
163,"無敵の∞Power",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
164,"ゴール",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
165,"OVER THE RAINBOW",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
166,"You're My Friend",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
167,"I NEED YOU",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
168,"消失点-Vanishing Point-",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
169,"キラキラ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
170,"Early Bird",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
171,"ワープ！",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
172,"MY BOY",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
173,"キライスキダイキライ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
174,"Take It Easy!",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
175,"-Winter Story-",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
176,"Bravo☆Bravo",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
177,"MIRACLE HAPPY LOVE SONG",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
178,"Our Songs",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
179,"We are Buono! 〜Buono!のテーマ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
180,"タビダチの歌",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
